DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;MÊS;ANO
2004-05-09;2004-05-15;CENTRO OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;127;R$/l;1,288;0,02;1,19;1,35;0,46;0,01;0,82;0,11;0,42;0,97;0,13;5;2004
2004-05-09;2004-05-15;CENTRO OESTE;GOIAS;ETANOL HIDRATADO;387;R$/l;1,162;0,11;0,89;1,45;0,4;0,1;0,76;0,09;0,5;1,05;0,12;5;2004
2004-05-09;2004-05-15;CENTRO OESTE;MATO GROSSO;ETANOL HIDRATADO;192;R$/l;1,389;0,1;1,18;1,76;0,42;0,07;0,97;0,1;0,56;1,16;0,1;5;2004
2004-05-09;2004-05-15;CENTRO OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;162;R$/l;1,262;0,07;1,09;1,51;0,43;0,06;0,83;0,12;0,6;1,22;0,14;5;2004
2004-05-16;2004-05-22;CENTRO OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;144;R$/l;1,271;0,04;1,06;1,3;0,45;0,03;0,82;0,11;0,41;1,19;0,14;5;2004
2004-05-16;2004-05-22;CENTRO OESTE;GOIAS;ETANOL HIDRATADO;378;R$/l;1,162;0,11;0,89;1,45;0,42;0,1;0,74;0,09;0,56;1,05;0,12;5;2004
2004-05-16;2004-05-22;CENTRO OESTE;MATO GROSSO;ETANOL HIDRATADO;198;R$/l;1,385;0,1;1,18;1,76;0,4;0,07;0,98;0,08;0,71;1,25;0,08;5;2004
2004-05-16;2004-05-22;CENTRO OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;174;R$/l;1,258;0,09;0,96;1,52;0,43;0,07;0,83;0,12;0,6;1,24;0,14;5;2004
2004-05-23;2004-05-29;CENTRO OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;129;R$/l;1,282;0,02;1,17;1,33;0,46;0,02;0,82;0,14;0,39;1,03;0,17;5;2004
2004-05-23;2004-05-29;CENTRO OESTE;GOIAS;ETANOL HIDRATADO;389;R$/l;1,162;0,11;0,87;1,44;0,42;0,1;0,74;0,08;0,48;1,07;0,11;5;2004
2004-05-23;2004-05-29;CENTRO OESTE;MATO GROSSO;ETANOL HIDRATADO;197;R$/l;1,388;0,1;1,18;1,68;0,42;0,07;0,97;0,1;0,56;1,25;0,1;5;2004
2004-05-23;2004-05-29;CENTRO OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;162;R$/l;1,257;0,07;1,05;1,41;0,44;0,06;0,82;0,12;0,6;1,24;0,15;5;2004
2004-05-30;2004-06-05;CENTRO OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;144;R$/l;1,373;0,05;1,18;1,45;0,48;0,04;0,89;0,15;0,41;1,42;0,16;5;2004
