DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;MÊS;ANO
2004-05-09;2004-05-15;NORTE;ACRE;ETANOL HIDRATADO;33;R$/l;1,805;0,13;1,5;1,98;0,69;0,07;1,12;0,17;0,77;1,3;0,15;5;2004
2004-05-09;2004-05-15;NORTE;AMAPA;ETANOL HIDRATADO;15;R$/l;1,785;0,04;1,74;1,85;0,41;0,02;1,37;0,17;0,83;1,49;0,12;5;2004
2004-05-09;2004-05-15;NORTE;AMAZONAS;ETANOL HIDRATADO;53;R$/l;1,578;0,12;1,28;1,85;0,44;0,08;1,14;0,07;0,95;1,21;0,06;5;2004
2004-05-09;2004-05-15;NORTE;PARA;ETANOL HIDRATADO;104;R$/l;1,914;0,25;1,27;2,4;0,54;0,13;1,38;0,24;0,76;1,89;0,17;5;2004
2004-05-09;2004-05-15;NORTE;RONDONIA;ETANOL HIDRATADO;97;R$/l;1,545;0,14;1,25;1,99;0,53;0,09;1,01;0,15;0,52;1,33;0,15;5;2004
2004-05-09;2004-05-15;NORTE;RORAIMA;ETANOL HIDRATADO;14;R$/l;1,3;0,0;1,3;1,3;0,2;0,0;1,1;0,1;0,98;1,36;0,09;5;2004
2004-05-09;2004-05-15;NORTE;TOCANTINS;ETANOL HIDRATADO;71;R$/l;1,226;0,08;1,05;1,43;0,55;0,07;0,68;0,11;0,51;1,03;0,17;5;2004
2004-05-16;2004-05-22;NORTE;ACRE;ETANOL HIDRATADO;32;R$/l;1,804;0,14;1,5;1,98;0,69;0,08;1,11;0,16;0,77;1,3;0,15;5;2004
2004-05-16;2004-05-22;NORTE;AMAPA;ETANOL HIDRATADO;15;R$/l;1,785;0,04;1,74;1,85;0,37;0,02;1,42;0,05;1,35;1,5;0,04;5;2004
2004-05-16;2004-05-22;NORTE;AMAZONAS;ETANOL HIDRATADO;56;R$/l;1,557;0,12;1,259;1,85;0,44;0,08;1,11;0,07;0,94;1,21;0,06;5;2004
