DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;MÊS;ANO
2004-05-09;2004-05-15;SUL;PARANA;ETANOL HIDRATADO;760;R$/l;0,922;0,08;0,74;1,5;0,26;0,09;0,67;0,1;0,44;0,96;0,16;5;2004
2004-05-09;2004-05-15;SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;689;R$/l;1,224;0,14;0,88;1,71;0,33;0,12;0,89;0,09;0,64;1,27;0,1;5;2004
2004-05-09;2004-05-15;SUL;SANTA CATARINA;ETANOL HIDRATADO;506;R$/l;1,229;0,08;0,999;1,46;0,42;0,06;0,81;0,1;0,57;1,23;0,12;5;2004
2004-05-16;2004-05-22;SUL;PARANA;ETANOL HIDRATADO;769;R$/l;0,922;0,09;0,73;1,5;0,25;0,1;0,67;0,1;0,43;0,96;0,15;5;2004
2004-05-16;2004-05-22;SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;674;R$/l;1,22;0,14;0,898;1,71;0,32;0,12;0,9;0,09;0,64;1,24;0,1;5;2004
2004-05-16;2004-05-22;SUL;SANTA CATARINA;ETANOL HIDRATADO;510;R$/l;1,227;0,08;0,999;1,46;0,4;0,06;0,83;0,1;0,57;1,24;0,12;5;2004
2004-05-23;2004-05-29;SUL;PARANA;ETANOL HIDRATADO;770;R$/l;0,97;0,09;0,76;1,5;0,28;0,09;0,69;0,11;0,43;0,96;0,16;5;2004
2004-05-23;2004-05-29;SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;690;R$/l;1,235;0,13;0,938;1,71;0,34;0,1;0,9;0,09;0,62;1,27;0,1;5;2004
2004-05-23;2004-05-29;SUL;SANTA CATARINA;ETANOL HIDRATADO;513;R$/l;1,231;0,08;0,999;1,49;0,4;0,06;0,84;0,1;0,63;1,23;0,12;5;2004
2004-05-30;2004-06-05;SUL;PARANA;ETANOL HIDRATADO;768;R$/l;1,046;0,09;0,78;1,5;0,32;0,09;0,73;0,12;0,44;1,01;0,17;5;2004
